Year,White,Black,Asian,Native,Hispanic
1992,3.0,0.5,0.4,0.8,0.8
1993,3.0,0.5,0.4,0.8,0.8
1994,3.0,0.5,0.4,0.8,0.8
1995,3.0,0.5,0.4,0.9,0.8
1996,3.0,0.5,0.4,0.9,0.8
1997,3.0,0.5,0.4,0.9,0.8
1998,3.0,0.5,0.4,0.9,0.8
1999,3.1,0.5,0.4,0.9,0.8
2000,3.1,0.5,0.4,1.0,0.8
2001,3.1,0.5,0.4,1.0,0.8
2002,3.1,0.5,0.4,1.0,0.8
2003,3.1,0.5,0.4,1.0,0.8
2004,3.1,0.5,0.4,1.0,0.8
2005,3.1,0.4,0.4,1.1,0.8
2006,3.1,0.4,0.4,1.1,0.8
2007,3.1,0.4,0.4,1.1,0.8
2008,3.1,0.4,0.4,1.1,0.8
2009,3.1,0.4,0.4,1.2,0.8
2010,3.1,0.4,0.4,1.2,0.8
